Music/Entertainment,Finance,Sc_Literature
0.36459426919010207,0.3642517773942746,0.36543538581879464
0.36826655206616193,0.3663022407160805,0.3654130719887559
0.3582030837768331,0,0.365090277220685
0.3657922229596879,0,0.3636005413293584
0.36574403671838307,0.3657922229596879,0.3640519332520572
0.3688163311050085,0.36601028429925375,0.3649279282836811
0.36716660741460677,0.36557036943582855,0.3636005413293584
0.36763133738393583,0.36592350714044847,0.3655038242770524
0.35706319452284657,0.3491969342126689,0.3652519273037479
0.3661755750852203,0.366874131073038,0.36592350714044847
