Finance,Music/Entertainment,Sc_Literature
0.318099809,0.397635364,0.311654594
0.274745583,0.343294524,0.338685499
0.307853218,0.402767205,0.340663721
0.312146553,0.339808849,0
0.279867906,0.277350098,0.34299717
0.383981713,0.309016265,0.337855042
0.334109435,0.302347722,0.287435625
0.279227716,0,0.338130729
0.305369417,0.346966645,0.332566163
0.351735575,0.275335803,0.309016265
,,
0.314713693,0.299452248,0.293900481
